weight,acc1,acc5,params [M],gflops
AlexNet_Weights,56.522,79.066,61.1,0.71
ConvNeXt_Base_Weights,84.062,96.87,88.6,15.36
ConvNeXt_Large_Weights,84.414,96.976,197.8,34.36
ConvNeXt_Small_Weights,83.616,96.65,50.2,8.68
ConvNeXt_Tiny_Weights,82.52,96.146,28.6,4.46
DenseNet121_Weights,74.434,91.972,8.0,2.83
DenseNet161_Weights,77.138,93.56,28.7,7.73
DenseNet169_Weights,75.6,92.806,14.1,3.36
DenseNet201_Weights,76.896,93.37,20.0,4.29
EfficientNet_B0_Weights,77.692,93.532,5.3,0.39
EfficientNet_B1_Weights,78.642,94.186,7.8,0.69
EfficientNet_B2_Weights,80.608,95.31,9.1,1.09
EfficientNet_B3_Weights,82.008,96.054,12.2,1.83
EfficientNet_B4_Weights,83.384,96.594,19.3,4.39
EfficientNet_B5_Weights,83.444,96.628,30.4,10.27
EfficientNet_B6_Weights,84.008,96.916,43.0,19.07
EfficientNet_B7_Weights,84.122,96.908,66.3,37.75
EfficientNet_V2_L_Weights,85.808,97.788,118.5,56.08
EfficientNet_V2_M_Weights,85.112,97.156,54.1,24.58
EfficientNet_V2_S_Weights,84.228,96.878,21.5,8.37
GoogLeNet_Weights,69.778,89.53,6.6,1.5
Inception_V3_Weights,77.294,93.45,27.2,5.71
MNASNet0_5_Weights,67.734,87.49,2.2,0.1
MNASNet0_75_Weights,71.18,90.496,3.2,0.21
MNASNet1_0_Weights,73.456,91.51,4.4,0.31
MNASNet1_3_Weights,76.506,93.522,6.3,0.53
MaxVit_T_Weights,83.7,96.722,30.9,5.56
MobileNet_V2_Weights,71.878,90.286,3.5,0.3
MobileNet_V3_Large_Weights,74.042,91.34,5.5,0.22
MobileNet_V3_Large_Weights.IMAGENET1K_V2,75.274,92.566,5.5,0.22
MobileNet_V3_Small_Weights,67.668,87.402,2.5,0.06
RegNet_X_16GF_Weights,80.058,94.944,54.3,15.94
RegNet_X_1_6GF_Weights,77.04,93.44,9.2,1.6
RegNet_X_32GF_Weights,80.622,95.248,107.8,31.74
RegNet_X_3_2GF_Weights,78.364,93.992,15.3,3.18
RegNet_X_400MF_Weights,72.834,90.95,5.5,0.41
RegNet_X_800MF_Weights,75.212,92.348,7.3,0.8
RegNet_X_8GF_Weights,79.344,94.686,39.6,8
RegNet_Y_16GF_Weights,80.424,95.24,83.6,15.91
RegNet_Y_1_6GF_Weights,77.95,93.966,11.2,1.61
RegNet_Y_32GF_Weights,80.878,95.34,145.0,32.28
RegNet_Y_3_2GF_Weights,78.948,94.576,19.4,3.18
RegNet_Y_400MF_Weights,74.046,91.716,4.3,0.4
RegNet_Y_800MF_Weights,76.42,93.136,6.4,0.83
RegNet_Y_8GF_Weights,80.032,95.048,39.4,8.47
ResNeXt101_32X8D_Weights,79.312,94.526,88.8,16.41
ResNeXt101_64X4D_Weights,83.246,96.454,83.5,15.46
ResNeXt50_32X4D_Weights,77.618,93.698,25.0,4.23
ResNet101_Weights,77.374,93.546,44.5,7.8
ResNet152_Weights,78.312,94.046,60.2,11.51
ResNet18_Weights,69.758,89.078,11.7,1.81
ResNet34_Weights,73.314,91.42,21.8,3.66
ResNet50_Weights,76.13,92.862,25.6,4.09
ShuffleNet_V2_X0_5_Weights,60.552,81.746,1.4,0.04
ShuffleNet_V2_X1_0_Weights,69.362,88.316,2.3,0.14
ShuffleNet_V2_X1_5_Weights,72.996,91.086,3.5,0.3
ShuffleNet_V2_X2_0_Weights,76.23,93.006,7.4,0.58
SqueezeNet1_0_Weights,58.092,80.42,1.2,0.82
SqueezeNet1_1_Weights,58.178,80.624,1.2,0.35
Swin_B_Weights,83.582,96.64,87.8,15.43
Swin_S_Weights,83.196,96.36,49.6,8.74
Swin_T_Weights,81.474,95.776,28.3,4.49
Swin_V2_B_Weights,84.112,96.864,87.9,20.32
Swin_V2_S_Weights,83.712,96.816,49.7,11.55
Swin_V2_T_Weights,82.072,96.132,28.4,5.94
VGG11_BN_Weights,70.37,89.81,132.9,7.61
VGG11_Weights,69.02,88.628,132.9,7.61
VGG13_BN_Weights,71.586,90.374,133.1,11.31
VGG13_Weights,69.928,89.246,133.0,11.31
VGG16_BN_Weights,73.36,91.516,138.4,15.47
VGG16_Weights,71.592,90.382,138.4,15.47
VGG19_BN_Weights,74.218,91.842,143.7,19.63
VGG19_Weights,72.376,90.876,143.7,19.63
ViT_B_16_Weights,81.072,95.318,86.6,17.56
ViT_B_32_Weights,75.912,92.466,88.2,4.41
ViT_L_16_Weights,79.662,94.638,304.3,61.55
ViT_L_32_Weights,76.972,93.07,306.5,15.38
Wide_ResNet101_2_Weights,78.848,94.284,126.9,22.75
Wide_ResNet50_2_Weights,78.468,94.086,68.9,11.4
