Models,resnet18,resnet50,resnet101,resnet152,densenet121,densenet161,densenet169,densenet201,efficientnet_b0,efficientnet_b1,efficientnet_b2,efficientnet_b3,efficientnet_b4,efficientnet_b5,efficientnet_b6,efficientnet_b7,mobilenet_v2,mobilenet_v3_small,mobilenet_v3_large,vgg11,vgg13,vgg16,vgg19
resnet18,1.0,0.88,0.87,0.87,0.9,0.88,0.89,0.89,0.89,0.87,0.88,0.87,0.87,0.89,0.87,0.88,0.89,0.88,0.88,0.96,0.96,0.96,0.96
resnet50,0.97,1.0,0.92,0.92,0.93,0.92,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.93,0.92,0.93,0.93,0.93,0.92,0.98,0.97,0.97,0.98
resnet101,0.96,0.95,1.0,0.94,0.93,0.93,0.94,0.93,0.93,0.92,0.92,0.92,0.92,0.93,0.92,0.93,0.93,0.93,0.93,0.97,0.97,0.97,0.97
resnet152,0.98,0.96,0.95,1.0,0.95,0.94,0.95,0.94,0.94,0.94,0.94,0.93,0.93,0.94,0.93,0.95,0.94,0.94,0.94,0.98,0.98,0.98,0.98
densenet121,0.96,0.9,0.88,0.88,1.0,0.92,0.94,0.93,0.91,0.89,0.9,0.88,0.88,0.9,0.89,0.9,0.9,0.89,0.9,0.97,0.96,0.97,0.97
densenet161,0.96,0.94,0.92,0.92,0.95,1.0,0.96,0.96,0.93,0.92,0.92,0.91,0.91,0.93,0.92,0.93,0.93,0.93,0.92,0.97,0.97,0.97,0.97
densenet169,0.97,0.92,0.91,0.91,0.95,0.95,1.0,0.95,0.93,0.92,0.93,0.91,0.91,0.93,0.92,0.93,0.93,0.92,0.92,0.98,0.98,0.98,0.98
densenet201,0.97,0.92,0.91,0.91,0.95,0.95,0.96,1.0,0.93,0.91,0.92,0.9,0.9,0.92,0.91,0.92,0.93,0.92,0.92,0.98,0.97,0.97,0.97
efficientnet_b0,0.97,0.91,0.9,0.9,0.93,0.91,0.92,0.91,1.0,0.94,0.95,0.93,0.92,0.93,0.92,0.93,0.94,0.93,0.95,0.98,0.98,0.98,0.98
efficientnet_b1,0.96,0.92,0.91,0.91,0.93,0.92,0.93,0.92,0.95,1.0,0.94,0.93,0.92,0.93,0.92,0.94,0.96,0.93,0.95,0.97,0.97,0.97,0.98
efficientnet_b2,0.97,0.91,0.9,0.9,0.92,0.92,0.92,0.92,0.97,0.93,1.0,0.93,0.92,0.94,0.92,0.94,0.94,0.92,0.94,0.98,0.98,0.98,0.99
efficientnet_b3,0.96,0.93,0.92,0.92,0.93,0.93,0.94,0.93,0.96,0.96,0.95,1.0,0.95,0.94,0.93,0.94,0.95,0.94,0.95,0.98,0.97,0.97,0.98
efficientnet_b4,0.96,0.92,0.91,0.91,0.92,0.92,0.92,0.92,0.94,0.94,0.94,0.94,1.0,0.93,0.92,0.94,0.94,0.92,0.93,0.97,0.97,0.97,0.98
efficientnet_b5,0.96,0.9,0.89,0.89,0.91,0.9,0.91,0.9,0.93,0.9,0.93,0.9,0.9,1.0,0.96,0.97,0.91,0.91,0.9,0.97,0.97,0.96,0.97
efficientnet_b6,0.96,0.9,0.89,0.89,0.92,0.91,0.91,0.91,0.93,0.91,0.93,0.91,0.91,0.97,1.0,0.97,0.91,0.91,0.91,0.97,0.97,0.97,0.97
efficientnet_b7,0.95,0.9,0.89,0.89,0.91,0.91,0.91,0.91,0.92,0.89,0.92,0.91,0.9,0.97,0.96,1.0,0.91,0.9,0.9,0.97,0.97,0.97,0.98
mobilenet_v2,0.95,0.88,0.87,0.87,0.89,0.88,0.89,0.88,0.91,0.9,0.9,0.88,0.88,0.89,0.89,0.9,1.0,0.9,0.91,0.97,0.96,0.96,0.97
mobilenet_v3_small,0.95,0.9,0.89,0.89,0.91,0.9,0.91,0.9,0.93,0.91,0.91,0.9,0.9,0.92,0.91,0.92,0.92,1.0,0.91,0.97,0.96,0.96,0.96
mobilenet_v3_large,0.96,0.91,0.9,0.9,0.92,0.91,0.92,0.91,0.95,0.94,0.93,0.92,0.91,0.92,0.91,0.92,0.96,0.93,1.0,0.98,0.97,0.97,0.97
vgg11,0.94,0.86,0.86,0.85,0.87,0.86,0.86,0.86,0.88,0.86,0.87,0.86,0.86,0.87,0.86,0.87,0.87,0.87,0.86,1.0,0.96,0.96,0.97
vgg13,0.93,0.86,0.85,0.85,0.86,0.85,0.86,0.86,0.87,0.86,0.86,0.85,0.85,0.86,0.86,0.86,0.87,0.86,0.86,0.97,1.0,0.97,0.97
vgg16,0.95,0.89,0.89,0.89,0.9,0.89,0.9,0.9,0.91,0.9,0.9,0.89,0.89,0.9,0.89,0.9,0.91,0.9,0.9,0.98,0.98,1.0,0.98
vgg19,0.94,0.9,0.9,0.89,0.9,0.9,0.9,0.9,0.91,0.9,0.91,0.9,0.9,0.91,0.9,0.91,0.91,0.9,0.9,0.98,0.98,0.98,1.0
